participant_ID,session_ID,gender,HGSHS_observer_01,HGSHS_observer_02,HGSHS_observer_03,HGSHS_observer_04,HGSHS_observer_05,HGSHS_observer_06,HGSHS_observer_07,HGSHS_observer_08,HGSHS_observer_09,HGSHS_observer_10,HGSHS_observer_11,HGSHS_observer_12,HGSHS_subject_01,HGSHS_subject_02,HGSHS_subject_03,HGSHS_subject_04,HGSHS_subject_05,HGSHS_subject_06,HGSHS_subject_07,HGSHS_subject_08,HGSHS_subject_09,HGSHS_subject_10,HGSHS_subject_11,HGSHS_subject_12,VVIQ1,VVIQ2,VVIQ3,VVIQ4,VVIQ5,VVIQ6,VVIQ7,VVIQ8,VVIQ9,VVIQ10,VVIQ11,VVIQ12,VVIQ13,VVIQ14,VVIQ15,VVIQ16,PCI01,PCI02,PCI03,PCI04,PCI05,PCI06,PCI07,PCI08,PCI09,PCI10,PCI11,PCI12,PCI13,PCI14,PCI15,PCI16,PCI17,PCI18,PCI19,PCI20,PCI21,PCI22,PCI23,PCI24,PCI25,PCI26,PCI27,PCI28,PCI29,PCI30,PCI31,PCI32,PCI33,PCI34,PCI35,PCI36,PCI37,PCI38,PCI39,PCI40,PCI41,PCI42,PCI43,PCI44,PCI45,PCI46,PCI47,PCI48,PCI49,PCI50,PCI51,PCI52,PCI53,PCI_Main_01_Altered_experience,PCI_Sub_01_Body_image,PCI_Sub_02_Time_sense,PCI_Sub_03_Perception,PCI_Sub_04_Meaning,PCI_Main_02_Positive_affect,PCI_Sub_05_Joy,PCI_Sub_06_Sexual_excitement,PCI_Sub_07_Love,PCI_Main_03_Negative affect,PCI_Sub_08_Anger,PCI_Sub_09_Sadness,PCI_Sub_10_Fear,PCI_Main_04_Attention,PCI_Sub_11_Direction,PCI_Sub_12_Concentration,PCI_Main_05_Imagery,PCI_Sub_13_Amount,PCI_Sub_14_Vividness,PCI_Main_06_Self_Awareness,PCI_Main_07_Altered_State_of_Awareness,PCI_Main_08_Arousal,PCI_Main_09_Rationality,PCI_Main_10_Volitional_Control,PCI_Main_11_Memory,PCI_Main_12_Internal_Dialogue,PCI_Reliability_average
ID_037,session_04,female,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,5,5,4,5,5,5,4,5,4,4,5,5,4,4,3,5,5,4,5,1,5,1,4,2,4,4,2,2,4,1,1,5,2,0,0,4,4,5,2,4,2,1,2,4,4,0,2,2,2,1,1,2,6,4,2,2,2,4,4,5,5,2,4,5,2,2,5,2,4,3.85,4,5,2.67,3.75,2.33,2,1,4,2.33,2.5,2,2.5,4.4,4,5,5,4.5,5.5,4,4,6,2,2.33,3.67,5,0.2
ID_038,session_04,female,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,5,5,5,2,3,3,2,1,3,5,5,5,4,4,5,4,5,1,3,6,6,3,6,3,1,3,4,1,5,0,2,6,1,1,5,6,6,3,4,3,1,2,2,5,1,2,0,1,0,1,0,2,0,4,5,0,4,0,2,4,4,5,4,3,0,4,4,3,6,3.38,4,3.33,5,1.75,3.67,5,0,6,1,3,0,0,4.2,3.67,5,4.25,4.5,4,3.67,6,0.5,3.33,4,2.67,3.5,0.8
ID_039,session_04,female,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,5,4,4,5,3,3,3,4,4,4,5,3,3,3,3,3,5,3,5,2,0,2,6,3,2,4,4,4,5,0,1,6,1,3,3,4,5,5,2,4,3,5,2,4,1,1,0,1,0,5,0,2,1,3,3,2,1,0,5,2,4,0,4,3,4,2,2,1,5,3.69,2.33,5,4.33,3.25,2.67,2,3,3,1,3,0,0,3.6,4,3,2.5,2,3,4.33,4.67,2,2.33,1.67,4,4,1.6
ID_040,session_04,female,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,5,5,5,4,5,5,5,5,5,2,4,2,4,5,5,5,4,1,2,2,6,1,6,0,3,5,4,4,5,0,1,2,2,5,6,4,4,5,3,2,0,6,2,5,0,0,0,0,6,4,0,4,0,2,6,2,4,4,2,0,0,0,4,0,2,2,1,1,4,3.46,1.67,4.33,5.33,2.75,1.83,1.5,0,4,1.33,0,0,4,4.4,5.33,3,0.75,1,0.5,4.33,4,0,4.33,4.67,4.67,2.5,1.6
ID_041,session_04,female,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,5,5,5,5,5,2,3,1,4,4,1,3,2,2,1,3,2,1,2,4,6,2,1,1,5,6,0,6,6,5,6,6,6,6,5,5,2,6,1,1,1,4,0,5,6,6,4,0,3,1,0,6,4,2,0,5,3,0,0,1,5,2,1,1,1,1,0,1,4,0.77,0.67,0,0,2,2.17,1.5,0,5,2.83,4,4.5,0,4.4,5,3.5,0.5,0.5,0.5,5.67,2.33,2.5,5.33,4,5.33,4.5,0.6
ID_042,session_04,female,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,4,5,5,4,3,4,5,3,4,5,3,5,4,4,3,1,2,6,6,1,6,2,6,5,1,2,6,0,4,6,5,2,2,1,1,6,2,2,2,5,1,4,3,2,1,1,6,3,0,5,4,3,1,5,4,0,1,5,5,1,1,3,5,2,2,3,2,1.69,1.33,2.33,1.67,1.5,0.5,0.5,0,1,0.17,0,0.5,0,3.4,3.67,3,4,4.5,3.5,5,1.33,4,4.67,4,4.67,5,0.2
ID_043,session_04,female,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,2,3,4,4,2,2,3,2,3,3,2,4,3,2,3,3,4,0,1,6,6,3,6,2,6,6,0,6,6,0,6,6,6,5,3,0,0,6,6,0,0,6,0,3,6,6,0,0,6,3,0,6,3,3,0,6,3,0,0,0,3,0,0,3,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.67,3.5,1,0,2,6,0,3,6,4.67,5,3,0.2
ID_044,session_04,male,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,4,2,5,2,3,2,2,3,3,1,5,2,2,1,4,2,1,3,6,6,2,1,1,6,6,1,6,6,4,4,6,3,5,5,1,1,6,5,0,1,6,1,5,5,5,0,0,3,5,0,5,2,2,0,5,3,0,3,0,4,0,0,0,6,1,0,1,3,0.92,0.33,2,1.33,0.25,0.17,0,0,0.5,2,3.5,2.5,0,3.6,5,1.5,0.25,0,0.5,5.33,1.67,1.5,5.33,3.67,5.33,4,0
ID_045,session_04,female,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,5,4,4,5,5,5,4,4,5,4,5,5,4,5,5,4,5,3,4,1,6,1,0,0,4,5,6,2,3,5,3,5,1,1,5,1,4,5,2,3,3,1,3,5,3,3,6,5,1,1,0,2,1,1,3,2,1,2,3,4,5,4,5,5,6,3,5,2,5,4.23,5.33,3,3.67,4.75,1.17,3,0,0.5,4.17,5,6,1.5,5,5,5,4.5,4,5,3,4.33,1,2.67,2,5,5,0.2
ID_046,session_04,female,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,5,5,5,5,5,3,5,5,5,5,4,5,5,5,5,4,5,3,6,6,6,6,6,2,6,4,2,3,5,5,0,6,4,0,6,0,4,5,6,4,6,5,0,5,5,0,3,3,3,2,0,5,2,3,0,3,0,0,6,2,0,0,0,1,6,2,6,3,5,2.54,3,6,1,0.75,0,0,0,0,1.83,4,1.5,0,4.2,4,4.5,3,2.5,3.5,5,4,1,3.33,0,4,0,0.6
